name,address,city,state,stars,location
La Michoacan,3923 Lebanon Pike,nashville,TN,5.0,"{'latitude': 36.1945904242, 'longitude': -86.6218810503}"
Orange Tech Center,428 South St,philadelphia,PA,4.5,"{'latitude': 39.9416281, 'longitude': -75.1502079}"
Tires Plus,197 Lancaster Ave,malvern,PA,3.5,"{'latitude': 40.0411, 'longitude': -75.53887}"
Kickin Caribbean,12640 Wilcox Rd,largo,FL,3.5,"{'latitude': 27.8910632, 'longitude': -82.8130867}"
Club Fitness - East Alton,47 Eastgate Plaza,east alton,IL,2.0,"{'latitude': 38.8800742459, 'longitude': -90.1193893889}"
KSK Marina,198 Seminole St,clearwater,FL,5.0,"{'latitude': 27.9743282, 'longitude': -82.8017657}"
TaKorean,111 S Independence Mall E,philadelphia,PA,3.5,"{'latitude': 39.9497563, 'longitude': -75.1480623}"
Indy Pies and Pints with Arts 4 Learning,,indianapolis,IN,5.0,"{'latitude': 39.8071382082, 'longitude': -86.1577714786}"
Firestone Complete Auto Care,5814 Crawfordsville Rd,indianapolis,IN,3.5,"{'latitude': 39.79716, 'longitude': -86.26251}"
Checkers,8800 N 56th Street,temple terrace,FL,3.5,"{'latitude': 28.0293092, 'longitude': -82.3937295}"
Cricketers 52,7306 State Rd 52,hudson,FL,3.5,"{'latitude': 28.3307055, 'longitude': -82.6940157}"
Kroger,2284 Murfreesboro Pike,nashville,TN,2.0,"{'latitude': 36.0886314, 'longitude': -86.6473027}"
4 Seasons Tanning & Spa,515 Stump Rd,north wales,PA,3.5,"{'latitude': 40.2326179, 'longitude': -75.2280613}"
D'Angelo Bros,909 S 9th St,philadelphia,PA,4.0,"{'latitude': 39.9385953, 'longitude': -75.1577303}"
Rhino,2950 E Tioga St,philadelphia,PA,4.5,"{'latitude': 39.9821498129, 'longitude': -75.0931201113}"
United Services of Arizona,,tucson,AZ,1.0,"{'latitude': 32.2680738, 'longitude': -110.9923904}"
Trenton Punk Rock Flea Market,675 S Clinton Ave,trenton,NJ,4.5,"{'latitude': 40.2097901552, 'longitude': -74.7524517021}"
